"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
173,"NCT04342689","The Role of Resistant Starch in COVID-19 Infection",,"Recruiting","No Results Available","COVID-19","Drug: Dietary Supplement containing resistant starch|Dietary Supplement: Placebo Starch","Rates of hospitalization for a COVID-19 related complication|Time to clinical recovery (TTCR)|Symptom Severity Score","Yale University|University of Michigan|University of Minnesota","All","19 Years and older   (Adult, Older Adult)","Phase 3","1500","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2000027887","June 3, 2020","June 1, 2021","June 1, 2021","April 13, 2020",,"June 17, 2020","Yale University, New Haven, Connecticut, United States|University of Michigan, Ann Arbor, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT04342689"
174,"NCT04391179","Dipyridamole to Prevent Coronavirus Exacerbation of Respiratory Status (DICER) in COVID-19","DICER","Recruiting","No Results Available","COVID|Corona Virus Infection|Covid-19|SARS-CoV-2 Infection","Drug: Dipyridamole 100 Milligram(mg)|Drug: Placebo oral tablet","Change in D-dimer|Global composite rank score","University of Michigan","All","18 Years and older   (Adult, Older Adult)","Phase 2","80","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","HUM00179783","May 31, 2020","December 2020","December 2020","May 18, 2020",,"July 31, 2020","North Shore UniversityHealth, Evanston, Illinois, United States|University of Michigan, Ann Arbor, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT04391179"
175,"NCT04360824","Covid-19 Associated Coagulopathy",,"Recruiting","No Results Available","COVID 19 Associated Coagulopathy","Drug: Intermediate dose thromboprophylaxis|Drug: Standard of Care thromboprophylaxis","Mortality|Major Bleeding|Arterial Thrombosis|Venous Thromboembolism|ICU admission, intubation/ventilation|Packed Red Blood Cell Transfusions|Platelet Transfusions|Fresh Frozen Plasma Transfusions|Cryoprecipitate Transfusions|Prothrombin Complex Concentrate Transfusions","University of Iowa","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 4","170","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","202004235","May 6, 2020","April 16, 2021","April 16, 2021","April 24, 2020",,"June 19, 2020","University of Iowa, Iowa City, Iowa, United States|Gundersen Health System, La Crosse, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04360824"
176,"NCT04424901","Trial of Open Label Dipyridamole- In Hospitalized Patients With COVID-19","TOLD","Recruiting","No Results Available","COVID-19 Pneumonia|Vascular Complications","Drug: Dipyridamole","Coagulation system|Viral Detection","UConn Health","All","18 Years and older   (Adult, Older Adult)","Phase 2","100","Other","Interventional","Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-192-2.F","May 3, 2020","May 1, 2021","May 30, 2021","June 11, 2020",,"June 11, 2020","UConn Health, Farmington, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT04424901"
177,"NCT04558125","Low-Dose Tenecteplase in Covid-19",,"Active, not recruiting","No Results Available","Pulmonary Embolism|COVID","Drug: TNKase","Percent improvement in shock index (HR/SBP) 6 hours after the TNK/placebo bolus.|1. Clinical status at 24 hours after administration of TNK / placebo based upon 7-point scale.","Cedars-Sinai Medical Center","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 4","45","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","ML42522","September 8, 2020","December 31, 2021","June 30, 2022","September 22, 2020",,"September 22, 2020","Cedars-Sinai Medical Center, Los Angeles, California, United States",,"https://ClinicalTrials.gov/show/NCT04558125"
178,"NCT04344457","Evaluate the Efficacy and Safety of Oral Hydroxychloroquine, Indomethacin and Zithromax in Subjects With Mild Symptoms of COVID-19","COVID-19","Recruiting","No Results Available","COVID-19","Drug: Hydroxychloroquine|Drug: Indomethacin|Drug: Zithromax Oral Product","Improvement of clinical status|Time of clinical recovery of fever|Time of clinical recovery of cough|Safety as determined by changes in QTC intervals measured by ECG|Safety as determined by presence of side effects|Time to improvement","Perseverance Research Center, LLC|Athena Medical Group","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","80","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HIZ-PRC-COVID-19","April 16, 2020","June 20, 2020","September 30, 2020","April 14, 2020",,"July 1, 2020","Perseverance Research Center, Scottsdale, Arizona, United States|Covidcraz 19, Llc, New Orleans, Louisiana, United States",,"https://ClinicalTrials.gov/show/NCT04344457"
179,"NCT04460703","COVID-19 Vaccine Messaging, Part 1",,"Completed","No Results Available","Vaccination|COVID-19","Other: Control message|Other: Baseline message|Other: Personal freedom message|Other: Economic freedom message|Other: Self-interest message|Other: Community interest message|Other: Economic benefit message|Other: Guilt message|Other: Embarrassment message|Other: Anger message|Other: Trust in science message|Other: Not bravery message","Intention to get COVID-19 vaccine|Vaccine confidence scale|Persuade others item|Fear of those who have not been vaccinated|Social judgment of those who do not vaccinate","Yale University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","4000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","2000027983","July 3, 2020","July 8, 2020","July 8, 2020","July 7, 2020",,"July 21, 2020","Yale University, New Haven, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT04460703"
180,"NCT04334382","Hydroxychloroquine vs. Azithromycin for Outpatients in Utah With COVID-19","HyAzOUT","Recruiting","No Results Available","COVID-19","Drug: Hydroxychloroquine|Drug: Azithromycin","Hospitalization within 14 days of enrollment|Duration of COVID-19-attributable symptoms|Hospital-free days at 28 days|Ventilator-free days at 28 days|ICU-free days at 28 days","Intermountain Health Care, Inc.|University of Utah|Utah Department of Health","All","45 Years and older   (Adult, Older Adult)","Phase 3","1550","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1051360","April 2, 2020","December 31, 2020","December 31, 2021","April 6, 2020",,"April 9, 2020","Intermountain Medical Center, Murray, Utah, United States|University of Utah, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT04334382"
181,"NCT04342169","University of Utah COVID-19 Hydrochloroquine Trial",,"Recruiting","No Results Available","Coronavirus Infection|Coronavirus|Infectious Disease","Drug: Hydroxychloroquine|Drug: Placebo oral tablet","Duration of viral shedding|Duration of COVID-19-attributable symptoms|Hospitalization|Adult household contact viral acquisition","University of Utah","All","18 Years and older   (Adult, Older Adult)","Phase 2","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB_00131893","April 4, 2020","April 2022","April 2023","April 10, 2020",,"August 20, 2020","University of Utah, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT04342169"
182,"NCT04312243","NO Prevention of COVID-19 for Healthcare Providers","NOpreventCOVID","Recruiting","No Results Available","Coronavirus Infections|Healthcare Associated Infection","Drug: Inhaled nitric oxide gas","COVID-19 diagnosis|Positive SARS-CoV-2 rt-PCR test","Massachusetts General Hospital","All","18 Years to 99 Years   (Adult, Older Adult)","Phase 2","470","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","NOpreCOVID-19","April 7, 2020","April 7, 2021","April 7, 2022","March 18, 2020",,"June 16, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04312243"
183,"NCT04547283","Awake-Prone Positioning Strategy for Hypoxic Patients With COVID-19",,"Recruiting","No Results Available","Covid19|Respiratory Failure","Other: Usual Care|Other: APPS","Average S/F ratio|Time spent with S/F ratio < 315|Highest oxygen support|Number of patients requiring ICU admission during study period|Number of patients requiring ICU admission during hospitalization|Number of patients experiencing who die prior to discharge|Number of patients requiring intubation|Hospital length of stay","Atrium Health","All","18 Years and older   (Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","06-20-03E","June 14, 2020","September 20, 2020","September 30, 2020","September 14, 2020",,"September 14, 2020","Carolinas Medical Center, Charlotte, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04547283"
184,"NCT04362111","Early Treatment of Cytokine Storm Syndrome in Covid-19",,"Recruiting","No Results Available","Cytokine Storm|COVID-19","Drug: Anakinra|Drug: Normal saline","Percentage of patients discharged from the hospital alive and without the need for mechanical ventilation.|Percentage of subjects with 25% change (decrease) in cytokine storm markers at 48 hours|Percentage of subjects without increase in oxygen requirement and no increase in oxygen delivery/respiratory support measures after 48 hours.|Average time in days to achieve sustained ≥93% oxygen saturation without oxygen/respiratory support|Percentage of subjects with resolution of laboratory markers of Cytokine Storm syndrome|Percentage of subjects who develop bacterial or fungal or non-Covid-19 viral infection|Percentage of subjects who develop neutralizing antibody to Covid-19","University of Alabama at Birmingham","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","Chatham-Cytokine Covid-19","July 29, 2020","January 2021","March 2021","April 24, 2020",,"September 11, 2020","University of Alabama at Birmingham, Birmingham, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT04362111"
185,"NCT04369742","Treating COVID-19 With Hydroxychloroquine (TEACH)",,"Suspended","No Results Available","COVID-19","Drug: Hydroxychloroquine (HCQ)|Other: Pacebo: Calcium citrate","Cumulative incidence of SAEs through day 30|Cumulative incidence of grade 3 or 4 AEs through day 30|Incidence of discontinuation of therapy (for any reason)|Severe disease progression composite outcome|Cumulative incidence of events|Hospital length of stay|Days of fever|Days of non-invasive ventilator use|Days of non-rebreather mask oxygen supplementation|Score on Cytokine Release Syndrome (CRS) Grading Scale|Percentage of subjects reporting each severity score on 8 point ordinal scale Day 1 and EOT (End of Treatment - Day 6)|Percentage of subjects with qTC prolongation at EOT|Cumulative Incidence of mortality|Cumulative Incidence of ICU admission|Cumulative Incidence of Invasive mechanical ventilation|Cumulative Incidence of ECMO|Cumulative Incidence of hypotension requiring vasopressor support|SARS-CoV-2 viral eradication from nasopharyngeal specimens at EOT|Change in Alanine Aminotransferase (ALT) levels|Change in Aspartate Aminotransferase (AST) levels|Change in Creatinine levels|Change in Glucose levels|Change in White Blood Cell (WBC) count|Change in Hemoglobin levels|Change in Platelet count|Change in total bilirubin levels|Change in Lactate Dehydrogenase (LDH) levels|Change in C-Reactive Protein (CRP) levels|Change in Interleukin 6 (IL-6) levels","NYU Langone Health|State University of New York - Downstate Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","626","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","20-00463","April 15, 2020","June 2021","June 2021","April 30, 2020",,"July 2, 2020","State University of New York (SUNY) Downstate Medical Center, Brooklyn, New York, United States|NYU Langone Health, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04369742"
186,"NCT04340050","COVID-19 Convalescent Plasma",,"Active, not recruiting","No Results Available","Coronavirus","Biological: anti-SARS-CoV-2 convalescent plasma","Feasibility of performing study pathway consisting of consenting convalescent donors, harvesting convalescent plasma, application for FDA eIND and administering convalescent plasma to the patients|Type of respiratory support|Cardiac arrest|Transfer to ICU|ICU mortality|ICU length of stay|Hospital mortality|Hospital length of stay|Ventilator-free days|Overall survival (28-day mortality)","University of Chicago","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB20-0523","April 10, 2020","December 31, 2020","December 31, 2021","April 9, 2020",,"May 14, 2020","University of Chicago Medicine, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT04340050"
187,"NCT04379375","Nudges to Improve Health Behaviors That Limit COVID-19 Spread",,"Terminated","No Results Available","Health Behavior|COVID-19","Behavioral: Nudge","Hand Washing Behavior|Clinical Outcomes - General/Internal Medicine|Clinical Outcomes - Obstetrics & Gynecology|Clinical Outcomes - Surgery","Medical College of Wisconsin|Advancing a Healthier Wisconsin Endowment","All","18 Years and older   (Adult, Older Adult)","Not Applicable","45","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","PRO00037864","July 27, 2020","September 30, 2020","September 30, 2020","May 7, 2020",,"October 5, 2020","Medical College of Wisconsin, Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04379375"
188,"NCT04433078","RepurpoSing Old Drugs TO SuppRess a Modern Threat: COVID-19 STORM","STORM","Recruiting","No Results Available","Cytokine Storm|SARS-CoV-2","Drug: Doxycycline|Drug: Placebo","Time Free of Either Hospitalization, Hypoxemia, ICU Admission or Death|NP SARS-CoV-2 PCR|SARS-CoV-2 Serum Quantitative Viral Load|SARS-CoV-2 IgM/IgG Antibodies|White Blood Cell Count (WBC)|Absolute Lymphocyte Count (ALC)|C-Reactive Protein (CRP)|N-Terminal Pro-B-Type Natriuretic Peptide (Pro-BNP)|High Sensitivity Troponin I (hsTnT)|Tumor Necrosis Factor Alpha (TNF-a)|IL-1|IL-1B|IL-6","Temple University","All","18 Years and older   (Adult, Older Adult)","Phase 2","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","The STORM Trial","June 22, 2020","January 2021","July 2021","June 16, 2020",,"June 24, 2020","Temple University Hospital, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04433078"
189,"NCT04341675","Sirolimus Treatment in Hospitalized Patients With COVID-19 Pneumonia","SCOPE","Recruiting","No Results Available","COVID-19","Drug: Sirolimus|Drug: Placebo","Proportion of patients who are alive and free from advanced respiratory support measures at day 28.|Proportion of patients who require escalation in care|Change over time in study-specific biomarkers (LDH, Ferritin, D-dimer, lymphocyte count)|Proportion of patients surviving to hospital discharge|Drug safety profile|Duration of advanced respiratory support|Duration of hospital stay|Time from treatment initiation to death|Time to resolution of fever|Proportion of patients who require initiation of off-label therapies","University of Cincinnati","All","18 Years and older   (Adult, Older Adult)","Phase 2","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2020-0337","April 24, 2020","July 2020","September 2020","April 10, 2020",,"May 20, 2020","Loyola University Medical Center, Chicago, Illinois, United States|University of Cincinnati, Cincinnati, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04341675"
190,"NCT04355143","Colchicine to Reduce Cardiac Injury in COVID-19 (COLHEART-19)","COLHEART-19","Recruiting","No Results Available","COVID-19","Drug: Colchicine Tablets|Other: Current care per UCLA treating physicians","Composite of all-cause mortality, need for mechanical ventilation, or need for mechanical circulatory support (MCS)|Delta (peak minus baseline) troponin level|Delta (baseline to peak) brain natriuretic peptide (BNP) level|Change in left ventricular ejection fraction (LVEF) on echocardiography|Delta (peak minus baseline) C-Reactive protein (CRP) inflammatory biomarker level|Delta (peak minus baseline) D-Dimer inflammatory biomarker level|Time (days) to primary endpoint|Number of participants requiring mechanical ventilation|Number of participants requiring mechanical circulatory support (MCS)|Re-hospitalization at 90 days|All-cause mortality","University of California, Los Angeles","All","18 Years and older   (Adult, Older Adult)","Phase 2","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-000685","May 1, 2020","April 25, 2021","April 25, 2021","April 21, 2020",,"May 21, 2020","UCLA Ronald Reagan Medical Center, Los Angeles, California, United States|UCLA Santa Monica Hospital, Santa Monica, California, United States",,"https://ClinicalTrials.gov/show/NCT04355143"
191,"NCT04331366","Bidirectional Oxygenation Valve in the Management of Pulmonary Complications of COVID-19","GO2 PEEP","Completed","No Results Available","COVID-19","Device: GO2 PEEP MOUTHPIECE","Change in Oxygen Saturation by Pulse Oximetry|Change in Respiratory Rate|Change in Heart Rate|Change in Blood Pressure|Change in Subjective Work of Breathing|Change in Partial Pressure of Oxygen (PaO2)|Change in Partial Pressure of Carbon Dioxide (PaCO2)|Change in pH|Change in Bicarbonate (HCO3)|Change in Oxygen Saturation (O2Sat) by Arterial Blood Gas Test","Emory University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","2","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","STUDY00000381","April 8, 2020","August 31, 2020","August 31, 2020","April 2, 2020",,"October 19, 2020","Emory University Hospital, Atlanta, Georgia, United States|Emory St. Joseph's Hospital, Atlanta, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT04331366"
192,"NCT04466098","Multiple Dosing of Mesenchymal Stromal Cells in Patients With ARDS (COVID-19)",,"Recruiting","No Results Available","Acute Respiratory Distress Syndrome|ARDS (Moderate or Severe)|COVID-19 Pneumonia","Biological: Mesenchymal stromal cells|Other: Placebo","Incidence of grade 3-5 infusional toxicities and predefined hemodynamic or respiratory adverse events related to the infusion of MSC|Incidence of a reduction in one or more biomarkers of inflammation by day 7|Trend changes in PaO2:FiO2 ratio|Trend changes in Mean Airway Pressure|Trend changes in peak pressure|Trend changes in plateau pressure|Trend changes in Positive end-expiratory airway pressure (PEEP)|Incidence of mortality|Number of ICU-free days|Number of days alive and ventilator free composite score 3|Change in acute lung injury (ALI) score 2|Incidence of serious adverse events|Number of days alive off supplemental oxygen","Masonic Cancer Center, University of Minnesota","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","2020LS075|MT2020-12","July 30, 2020","December 1, 2021","December 1, 2021","July 10, 2020",,"August 14, 2020","University of Minnesota, Minneapolis, Minnesota, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04466098"
193,"NCT04367831","Intermediate or Prophylactic-Dose Anticoagulation for Venous or Arterial Thromboembolism in Severe COVID-19","IMPROVE","Recruiting","No Results Available","COVID-19|Venous Thromboses|Arterial Thrombosis","Drug: Enoxaparin Prophylactic Dose|Drug: Heparin Infusion|Drug: Heparin SC|Drug: Enoxaparin/Lovenox Intermediate Dose","Total Number of Patients with Clinically Relevant Venous or Arterial Thrombotic Events in ICU|Total Number of Patients with In hospital Clinically Relevant Venous or Arterial Thrombotic Events|ICU Length of Stay|Total Number of Patients with the Need for Renal Replacement Therapy in the ICU|Total Number of Patients with Major bleeding in the ICU|Hospital Length of Stay","Columbia University","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 4","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","AAAS8980","May 2, 2020","November 2020","April 2021","April 29, 2020",,"May 19, 2020","Columbia University Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04367831"
194,"NCT04363450","Hydroxychloroquine as Prophylaxis for COVID-19 in Healthcare Workers (HCQPreP)","HCQPreP","Recruiting","No Results Available","COVID-19|Corona Virus Infection|Wuhan Coronavirus|Prophylaxis|Healthcare Worker|Sars-CoV2|Hydroxychloroquine","Drug: Hydroxychloroquine|Drug: Placebo","Incidence of symptomatic COVID-19 infection in healthcare workers|Absenteeism from work due to COVID-19|Severity of COVID-19 infection","Louisiana State University Health Sciences Center in New Orleans|Lafayette General Health|University of Louisiana at Lafayette","All","18 Years and older   (Adult, Older Adult)","Phase 3","1700","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","LSU NO HSC IRB 20-050","April 27, 2020","March 31, 2021","June 1, 2021","April 27, 2020",,"September 2, 2020","Lafayette General Medical Center, Lafayette, Louisiana, United States|University Hospital and Clinics, Lafayette, Louisiana, United States",,"https://ClinicalTrials.gov/show/NCT04363450"
195,"NCT04482686","Trial of Combination Therapy to Treat COVID-19 Infection",,"Not yet recruiting","No Results Available","COVID|Covid-19|Corona Virus Infection|Coronavirus Infection|Coronavirus-19|SARS-CoV2|SARS-CoV Infection","Drug: Ivermectin|Drug: Doxycycline Hcl|Dietary Supplement: Zinc|Dietary Supplement: Vitamin D3|Dietary Supplement: Vitamin C","Time to Non-Infectivity by RT-PCR|Time to Symptom progression in days as measured by NEWS scoring system (National Early Warning Score)|Time to Symptom improvement as measured by NEWS scoring system (National Early Warning Score)|Efficacy of Treatment as measured by Titer|Efficacy of Treatment as measured by RT-PCR|Safety of Treatment as Measured by D-Dimer|Safety of Treatment as Measured by Pro-Calcitonin|Safety of Treatment as Measured by C-Reactive Protein|Safety of Treatment as Measured by Ferritin|Safety of Treatment as Measured by Liver Enzymes|Safety of Treatment as Measured by Complete Blood Count|Safety of Treatment as Measured by Electrolyte Levels|Safety of Treatment as Measured by Treatment Related Adverse Events","ProgenaBiome|Topelia Therapeutics","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","PRG-049","September 2020","March 2021","April 2021","July 22, 2020",,"September 21, 2020","ProgenaBiome, Ventura, California, United States",,"https://ClinicalTrials.gov/show/NCT04482686"
196,"NCT04482673","Vitamin D Supplementation in the Prevention and Mitigation of COVID-19 Infection","VitD-COVID19","Recruiting","No Results Available","COVID-19|Vitamin D Deficiency|Respiratory Viral Infection","Drug: Daily Vitamin D3|Drug: Daily placebo|Drug: Bolus vitamin D3|Drug: Bolus placebo","Change in total circulating 25(OH)D concentration|Change in total circulating 25(OH)D concentration in COVID-19 positives|Change in SARS-CoV-2 antibody titers|Change in inflammatory cytokine concentration (10 cytokine panel Elisa: Interferon (INF)-gamma, Interleukin (IL)-1beta, IL-2, IL-3, IL-4, IL-6, IL-8, IL-10, IL-13, Tumor Necrosis Factor (TNF)-alpha|Respiratory symptoms|Signs and symptoms of rhino/sinusitis|NCI Dietary Intake|Charlson Comorbidity survey|Paffenberger Physical Activity Assessment|Perceived stress|Pandemic stress|NEO-Personality Inventory|GrassrootsHealth Monthly Health assessment","Medical University of South Carolina|Grassroots Health Nutrition Institute|ZRT Laboratory","All","50 Years and older   (Adult, Older Adult)","Phase 4","140","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","00099939","July 31, 2020","December 31, 2021","December 31, 2021","July 22, 2020",,"August 4, 2020","Medical University of South Carolina, Charleston, South Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04482673"
197,"NCT04398290","iNOPulse for COVID-19","NO-COVER","Withdrawn","No Results Available","COVID-19|Hypoxemia|Hypoxemic Respiratory Failure","Drug: Inhaled nitric oxide (iNO)|Drug: Nitrogen gas|Drug: Oxygen gas","Incidence of treatment emergent adverse events|Incidence of adverse events|Incidence of methemoglobinemia|Number of participants with progression of respiratory failure|Time until resolution of hypoxemia|Incidence of mortality|Duration of hospitalization","Roger Alvarez|Bellerophon Therapeutics|University of Miami","All","18 Years and older   (Adult, Older Adult)","Phase 2","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","20200449","December 1, 2020","June 1, 2021","July 15, 2021","May 21, 2020",,"August 19, 2020","University of Miami Hospitals & Clinics, Miami, Florida, United States",,"https://ClinicalTrials.gov/show/NCT04398290"
198,"NCT04392232","A Study of COVID 19 Convalescent Plasma in High Risk Patients With COVID 19 Infection",,"Recruiting","No Results Available","Coronavirus|COVID-19|Convalescent Plasma","Drug: Convalescent Plasma","Survival Rate","TriHealth Inc.","All","16 Years and older   (Child, Adult, Older Adult)","Phase 2","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-045","May 5, 2020","December 31, 2020","December 31, 2020","May 18, 2020",,"May 20, 2020","Good Samaritan Hospital, Cincinnati, Ohio, United States|Bethesda North Hospital, Cincinnati, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04392232"
199,"NCT04482712","Effects of mTOR Inhibition With Sirolimus (RAPA) in Patients With COVID-19 to Moderate the Progression of ARDS","RAPA-CARDS","Not yet recruiting","No Results Available","Acute Lung Injury/Acute Respiratory Distress Syndrome (ARDS)|Respiratory Failure|Sars-CoV2","Drug: Rapamycin|Drug: Placebo","Survival rate|Change in Clinical Status assessed by the World Health Organization (WHO) scale|Change in Clinical Status assessed by the National Institute of Allergy and Infectious Disease (NIAID) scale","The University of Texas Health Science Center at San Antonio|Claude D. Pepper Older Americans Independence Center","All","60 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","HSC20200489H","October 2020","October 2021","October 2022","July 22, 2020",,"July 22, 2020","University Hospital System, San Antonio, Texas, United States|Audie L Murphy Memorial Veterans Hospital, San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04482712"
200,"NCT04554992","Convalescent Plasma for the Treatment of COVID-19",,"Active, not recruiting","No Results Available","Covid19","Biological: COVID 19 Convalescent Plasma","Cumulative incidence of serious adverse events related to the treatment intervention.|Mortality at Day 28 post-hospital admission.|Legnth of hospital stay|Length of supplemental oxygen requirement.|Length of mechanical ventilation requirement.|Length of ICU stay","The Methodist Hospital System","All","18 Years and older   (Adult, Older Adult)","Phase 1","350","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","00025121","March 20, 2020","June 2022","June 2022","September 18, 2020",,"September 18, 2020","Houston Methodist Hopsital, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04554992"
